TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:22:03
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.00003
MAXY,     7.00000
MINY,     0.00001
XYDATA
700.0000,2.65597E-005
699.0000,0.000119628
698.0000,3.46991E-005
697.0000,4.78833E-005
696.0000,0.00010499
695.0000,9.68133E-006
694.0000,7.25427E-005
693.0000,9.69059E-005
692.0000,2.02534E-005
691.0000,8.19582E-005
690.0000,0.00015282
689.0000,0.000111605
688.0000,0.00016649
687.0000,0.000199699
686.0000,0.000274127
685.0000,0.000336116
684.0000,0.000332603
683.0000,0.000351679
682.0000,0.000358159
681.0000,0.000505829
680.0000,0.000594016
679.0000,0.00068934
678.0000,0.000813191
677.0000,0.000792648
676.0000,0.0008728
675.0000,0.00114737
674.0000,0.00124477
673.0000,0.00134218
672.0000,0.00149758
671.0000,0.00156236
670.0000,0.00169769
669.0000,0.00171344
668.0000,0.00166938
667.0000,0.00157045
666.0000,0.00158853
665.0000,0.00139631
664.0000,0.00143299
663.0000,0.00140957
662.0000,0.00122867
661.0000,0.00119108
660.0000,0.00122494
659.0000,0.00121739
658.0000,0.00119806
657.0000,0.00124097
656.0000,0.00127816
655.0000,0.00114914
654.0000,0.00108428
653.0000,0.00119601
652.0000,0.00136123
651.0000,0.0013524
650.0000,0.00137337
649.0000,0.00136159
648.0000,0.00151648
647.0000,0.00147386
646.0000,0.00162825
645.0000,0.00170596
644.0000,0.0017596
643.0000,0.00172683
642.0000,0.00178454
641.0000,0.00191777
640.0000,0.00202429
639.0000,0.0022415
638.0000,0.00227291
637.0000,0.00220978
636.0000,0.00231403
635.0000,0.00238194
634.0000,0.00245014
633.0000,0.00246425
632.0000,0.00249684
631.0000,0.00253411
630.0000,0.00263604
629.0000,0.00272076
628.0000,0.00282235
627.0000,0.00285512
626.0000,0.00294377
625.0000,0.00312336
624.0000,0.00315168
623.0000,0.00326967
622.0000,0.00341909
621.0000,0.00356221
620.0000,0.00365423
619.0000,0.00377541
618.0000,0.00384751
617.0000,0.00400114
616.0000,0.00414149
615.0000,0.00430247
614.0000,0.00437316
613.0000,0.00463529
612.0000,0.00480578
611.0000,0.00500903
610.0000,0.00514554
609.0000,0.0053634
608.0000,0.00561962
607.0000,0.00585511
606.0000,0.00610729
605.0000,0.00641117
604.0000,0.0067015
603.0000,0.00707751
602.0000,0.00757676
601.0000,0.00800017
600.0000,0.00849199
599.0000,0.00910964
598.0000,0.00968145
597.0000,0.0104624
596.0000,0.0113446
595.0000,0.0122948
594.0000,0.0135293
593.0000,0.0147977
592.0000,0.0162988
