TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:29:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.00629
MAXY,     7.00000
MINY,     0.00629
XYDATA
700.0000,0.00628614
699.0000,0.00639185
698.0000,0.00644272
697.0000,0.00653561
696.0000,0.00658979
695.0000,0.0066003
694.0000,0.00667968
693.0000,0.00674033
692.0000,0.00672749
691.0000,0.00681543
690.0000,0.00692232
689.0000,0.00698023
688.0000,0.00713785
687.0000,0.00710183
686.0000,0.00731985
685.0000,0.00739465
684.0000,0.00748493
683.0000,0.00764836
682.0000,0.00764202
681.0000,0.0078581
680.0000,0.0080661
679.0000,0.00819271
678.0000,0.0083858
677.0000,0.00848048
676.0000,0.00858747
675.0000,0.00882878
674.0000,0.00902417
673.0000,0.0091599
672.0000,0.00941663
671.0000,0.00959933
670.0000,0.00976136
669.0000,0.00985286
668.0000,0.00989277
667.0000,0.00984307
666.0000,0.00990962
665.0000,0.0098985
664.0000,0.00994997
663.0000,0.00998493
662.0000,0.00991178
661.0000,0.00998015
660.0000,0.0101054
659.0000,0.0101241
658.0000,0.0101846
657.0000,0.0102884
656.0000,0.0104818
655.0000,0.0104298
654.0000,0.01057
653.0000,0.0106839
652.0000,0.0108188
651.0000,0.0109821
650.0000,0.0111619
649.0000,0.0112906
648.0000,0.0114086
647.0000,0.0113948
646.0000,0.0117321
645.0000,0.0119031
644.0000,0.0121151
643.0000,0.0121774
642.0000,0.012341
641.0000,0.0126166
640.0000,0.0127166
639.0000,0.0129833
638.0000,0.0131206
637.0000,0.0132567
636.0000,0.0134214
635.0000,0.0136859
634.0000,0.0138529
633.0000,0.0141238
632.0000,0.0142917
631.0000,0.0145141
630.0000,0.0147532
629.0000,0.0148486
628.0000,0.0151821
627.0000,0.0153867
626.0000,0.0156697
625.0000,0.0160222
624.0000,0.0163599
623.0000,0.0167643
622.0000,0.017058
621.0000,0.0175137
620.0000,0.0178738
619.0000,0.0183107
618.0000,0.0188213
617.0000,0.0193822
616.0000,0.0200034
615.0000,0.0207384
614.0000,0.0214007
613.0000,0.0223556
612.0000,0.0233679
611.0000,0.0244645
610.0000,0.0257269
609.0000,0.027212
608.0000,0.0288837
607.0000,0.0307731
606.0000,0.033008
605.0000,0.0355236
604.0000,0.0383077
603.0000,0.0416484
602.0000,0.0457127
601.0000,0.0500608
600.0000,0.0554943
599.0000,0.0614994
598.0000,0.0681976
597.0000,0.076122
596.0000,0.0851095
595.0000,0.0954599
594.0000,0.107249
593.0000,0.120484
592.0000,0.135422
591.0000,0.152197
590.0000,0.170732
