TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:24:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.01461
MAXY,     7.00000
MINY,     0.01461
XYDATA
700.0000,0.0146066
699.0000,0.0147678
698.0000,0.0147388
697.0000,0.0147546
696.0000,0.0148254
695.0000,0.0147805
694.0000,0.0148056
693.0000,0.0148616
692.0000,0.014836
691.0000,0.0148889
690.0000,0.0150309
689.0000,0.0150331
688.0000,0.0151638
687.0000,0.0152053
686.0000,0.0154015
685.0000,0.0155912
684.0000,0.0156386
683.0000,0.0158058
682.0000,0.0158815
681.0000,0.0160263
680.0000,0.016158
679.0000,0.0162878
678.0000,0.0164031
677.0000,0.0165265
676.0000,0.0166913
675.0000,0.0169902
674.0000,0.0171009
673.0000,0.017298
672.0000,0.0174877
671.0000,0.0176269
670.0000,0.0178577
669.0000,0.0179905
668.0000,0.0180161
667.0000,0.0180117
666.0000,0.0180769
665.0000,0.018062
664.0000,0.0180183
663.0000,0.0180374
662.0000,0.0180605
661.0000,0.0181115
660.0000,0.01822
659.0000,0.0182904
658.0000,0.0183038
657.0000,0.0183962
656.0000,0.0184957
655.0000,0.0185557
654.0000,0.0186325
653.0000,0.0188003
652.0000,0.0189925
651.0000,0.0191695
650.0000,0.0192319
649.0000,0.019443
648.0000,0.0195523
647.0000,0.019552
646.0000,0.0198559
645.0000,0.0200562
644.0000,0.0202965
643.0000,0.0203276
642.0000,0.0205319
641.0000,0.0207006
640.0000,0.0209131
639.0000,0.021118
638.0000,0.0212931
637.0000,0.0213644
636.0000,0.0215456
635.0000,0.0217564
634.0000,0.0219254
633.0000,0.0220729
632.0000,0.0222315
631.0000,0.022463
630.0000,0.0226614
629.0000,0.0228568
628.0000,0.0230651
627.0000,0.0232487
626.0000,0.0234534
625.0000,0.0236968
624.0000,0.0239336
623.0000,0.0242377
622.0000,0.0244344
621.0000,0.0247393
620.0000,0.0249416
619.0000,0.0251974
618.0000,0.0253774
617.0000,0.0256864
616.0000,0.026076
615.0000,0.0264587
614.0000,0.0267302
613.0000,0.0270834
612.0000,0.0275194
611.0000,0.027982
610.0000,0.0284453
609.0000,0.0288774
608.0000,0.0295251
607.0000,0.0301047
606.0000,0.0307702
605.0000,0.0314796
604.0000,0.0323009
603.0000,0.0331694
602.0000,0.034247
601.0000,0.0353768
600.0000,0.0368313
599.0000,0.0383892
598.0000,0.0399739
597.0000,0.0419923
596.0000,0.0443036
595.0000,0.0470081
594.0000,0.0500701
593.0000,0.0536068
592.0000,0.0577216
591.0000,0.0625406
590.0000,0.0679839
