TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/10/18
TIME	14:59:04
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	400.0000
LASTX	700.0000
NPOINTS	301
FIRSTY	53.16206
MAXY	238.70917
MINY	9.47030
XYDATA
668.0000	18.2981
669.0000	18.0634
670.0000	17.8729
671.0000	17.646
672.0000	17.4655
673.0000	17.2419
674.0000	17.0353
675.0000	16.8344
676.0000	16.6386
677.0000	16.4658
678.0000	16.3145
679.0000	16.173
680.0000	16.0131
681.0000	15.7701
682.0000	15.4698
683.0000	15.0987
684.0000	14.6891
685.0000	14.2477
686.0000	13.7525
687.0000	13.2159
688.0000	12.6387
689.0000	12.0375
690.0000	11.4277
691.0000	10.8431
692.0000	10.3771
693.0000	9.98768
694.0000	9.70388
695.0000	9.5011
696.0000	9.4703
697.0000	9.63081
698.0000	10.0687
699.0000	10.8375
700.0000	12.07
