XYDATA,CdSe--5
627.0000,0.00946419
628.0000,0.00943781
629.0000,0.00931354
630.0000,0.00923428
631.0000,0.00919405
632.0000,0.00912291
633.0000,0.00914836
634.0000,0.00899156
635.0000,0.00888727
636.0000,0.00884692
637.0000,0.00874938
638.0000,0.00880967
639.0000,0.00872253
640.0000,0.00854793
641.0000,0.00843411
642.0000,0.00843467
643.0000,0.00829112
644.0000,0.00828062
645.0000,0.0081307
646.0000,0.00811309
647.0000,0.0078949
648.0000,0.00793817
649.0000,0.00794012
650.0000,0.00783444
651.0000,0.00785253
652.0000,0.00784975
653.0000,0.00763259
654.0000,0.00760766
655.0000,0.00759551
656.0000,0.00758218
657.0000,0.00755729
658.0000,0.00754242
659.0000,0.00750653
660.0000,0.00755187
661.0000,0.00749918
662.0000,0.00750372
663.0000,0.00763265
664.0000,0.00765767
665.0000,0.0076696
666.0000,0.00778555
667.0000,0.00779142
668.0000,0.00788347
669.0000,0.00790506
670.0000,0.0078819
671.0000,0.00774834
672.0000,0.00757928
673.0000,0.00746183
674.0000,0.00732906
675.0000,0.00727016
676.0000,0.00705375
677.0000,0.00695314
678.0000,0.00689437
679.0000,0.00675419
680.0000,0.00653224
681.0000,0.00652771
682.0000,0.00643856
683.0000,0.00640856
684.0000,0.00629584
685.0000,0.00628525
686.0000,0.00630287
687.0000,0.00619086
688.0000,0.00626898
689.0000,0.00618231
690.0000,0.00623772
691.0000,0.00610854
692.0000,0.00608904
693.0000,0.00603173
694.0000,0.00602689
695.0000,0.00593329
696.0000,0.00592446
697.0000,0.00585745
698.0000,0.00578142
699.0000,0.00577453
700.0000,0.0057215
