TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:16:01
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.01549
MAXY,     7.00000
MINY,     0.01549
XYDATA
455.0000,0.816281
454.0000,0.826482
453.0000,0.836737
452.0000,0.847247
451.0000,0.85808
450.0000,0.868866
449.0000,0.879828
448.0000,0.890976
447.0000,0.902389
446.0000,0.913996
445.0000,0.925686
444.0000,0.937854
443.0000,0.950054
442.0000,0.962574
441.0000,0.975504
440.0000,0.98869
439.0000,1.00208
438.0000,1.01587
437.0000,1.03004
436.0000,1.04487
435.0000,1.06009
434.0000,1.07571
433.0000,1.09203
432.0000,1.10888
431.0000,1.12629
430.0000,1.14425
429.0000,1.16307
428.0000,1.18259
427.0000,1.20294
426.0000,1.22369
425.0000,1.24559
424.0000,1.26809
423.0000,1.29128
422.0000,1.31536
421.0000,1.34088
420.0000,1.36929
419.0000,1.3968
418.0000,1.42508
417.0000,1.45414
416.0000,1.48431
415.0000,1.515
414.0000,1.54715
413.0000,1.57934
412.0000,1.61233
411.0000,1.64615
410.0000,1.6801
409.0000,1.71437
408.0000,1.74889
407.0000,1.78318
406.0000,1.8181
405.0000,1.85228
404.0000,1.88683
403.0000,1.9217
402.0000,1.95565
401.0000,1.99065
400.0000,2.0252
399.0000,2.05964
398.0000,2.09449
397.0000,2.12799
396.0000,2.16155
395.0000,2.19529
394.0000,2.22916
393.0000,2.26284
392.0000,2.29699
391.0000,2.32957
390.0000,2.36328
389.0000,2.39689
388.0000,2.4325
387.0000,2.46804
386.0000,2.50539
385.0000,2.54291
384.0000,2.58159
383.0000,2.62228
382.0000,2.66605
381.0000,2.70887
380.0000,2.75316
379.0000,2.80046
378.0000,2.85065
377.0000,2.90113
376.0000,2.95037
375.0000,3.00647
374.0000,3.0662
373.0000,3.12503
372.0000,3.18888
371.0000,3.25346
370.0000,3.41773
369.0000,3.50422
368.0000,3.57529
367.0000,3.68016
366.0000,3.78079
365.0000,3.91414
364.0000,4.05617
363.0000,4.29815
362.0000,4.55378
361.0000,7
360.0000,7
359.0000,7
358.0000,7
357.0000,7
356.0000,7
355.0000,7
354.0000,7
353.0000,7
352.0000,7
351.0000,7
350.0000,7
349.0000,7
348.0000,7
347.0000,7
346.0000,7
345.0000,7
344.0000,7
343.0000,7
342.0000,7
341.0000,7
340.0000,7
339.0000,7
338.0000,7
337.0000,7
336.0000,7
335.0000,7
334.0000,7
333.0000,7
332.0000,7
331.0000,7
330.0000,7
329.0000,7
328.0000,7
327.0000,7
326.0000,7
325.0000,7
324.0000,7
323.0000,7
322.0000,7
321.0000,7
320.0000,7
319.0000,7
318.0000,7
317.0000,7
316.0000,7
315.0000,7
314.0000,7
313.0000,7
312.0000,7
311.0000,7
310.0000,7
309.0000,7
308.0000,7
307.0000,7
306.0000,7
305.0000,7
304.0000,7
303.0000,7
302.0000,7
301.0000,7
300.0000,7

##### Extended Information
[Comments]
Sample name,CdSe-
Comment
User
Division
Company,Dickinson College

[Detailed Information]
Creation date,10/18/2023 2:16 PM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Abs
Start,700 nm
End,300 nm
Data interval,1 nm
Data points,401     

[Measurement Information]
Instrument name,Spectro
Model name,V-670
Serial No.,A042861154

Measurement date,10/18/2023 2:15 PM

Photometric mode,Abs
Measurement range,700 - 300 nm
Data interval,1 nm
UV/Vis bandwidth,2.0 nm
NIR bandwidth,8.0 nm
Response,Fast
Scan speed,400 nm/min
Change source at,340 nm
Change grating at,850 nm
Light source,D2/WI
Filter exchange,Step
Correction,Baseline

