TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/10/18
TIME	15:08:32
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	400.0000
LASTX	700.0000
NPOINTS	301
FIRSTY	18.35279
MAXY	158.22646
MINY	5.62110
XYDATA
666.0000	10.7112
667.0000	10.5845
668.0000	10.4795
669.0000	10.3577
670.0000	10.2399
671.0000	10.1156
672.0000	10.0143
673.0000	9.91579
674.0000	9.82121
675.0000	9.74501
676.0000	9.65278
677.0000	9.57202
678.0000	9.46138
679.0000	9.3799
680.0000	9.2792
681.0000	9.17269
682.0000	9.01066
683.0000	8.80987
684.0000	8.58871
685.0000	8.33216
686.0000	8.08179
687.0000	7.76331
688.0000	7.44594
689.0000	7.07314
690.0000	6.7456
691.0000	6.44288
692.0000	6.18426
693.0000	5.97282
694.0000	5.79542
695.0000	5.67765
696.0000	5.6211
697.0000	5.6421
698.0000	5.70772
699.0000	5.82334
700.0000	5.98959
