TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:27:14
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.00169
MAXY,     7.00000
MINY,     0.00169
XYDATA
700.0000,0.00169378
699.0000,0.00169507
698.0000,0.00177193
697.0000,0.00177082
696.0000,0.00180984
695.0000,0.00172189
694.0000,0.0018509
693.0000,0.00183627
692.0000,0.00181334
691.0000,0.00180121
690.0000,0.00192908
689.0000,0.00194337
688.0000,0.00204626
687.0000,0.00197551
686.0000,0.00209714
685.0000,0.00213746
684.0000,0.00222217
683.0000,0.00230383
682.0000,0.00221238
681.0000,0.00235755
680.0000,0.00249155
679.0000,0.00259043
678.0000,0.00264368
677.0000,0.00277873
676.0000,0.00281157
675.0000,0.00308422
674.0000,0.00323295
673.0000,0.00327843
672.0000,0.00338407
671.0000,0.00346376
670.0000,0.0036388
669.0000,0.00360074
668.0000,0.00360788
667.0000,0.00359621
666.0000,0.00363574
665.0000,0.00347659
664.0000,0.00342077
663.0000,0.00333161
662.0000,0.00333332
661.0000,0.00329409
660.0000,0.00328572
659.0000,0.00325938
658.0000,0.00327152
657.0000,0.00330922
656.0000,0.0033291
655.0000,0.00329399
654.0000,0.00330782
653.0000,0.00342949
652.0000,0.00346089
651.0000,0.00354971
650.0000,0.00356049
649.0000,0.00361671
648.0000,0.00372164
647.0000,0.00360821
646.0000,0.00385748
645.0000,0.00399057
644.0000,0.00411626
643.0000,0.00401375
642.0000,0.00412488
641.0000,0.00420864
640.0000,0.00429236
639.0000,0.00448377
638.0000,0.00451684
637.0000,0.00456653
636.0000,0.00468465
635.0000,0.00477842
634.0000,0.0048794
633.0000,0.00499714
632.0000,0.00505306
631.0000,0.00514425
630.0000,0.0051901
629.0000,0.00530153
628.0000,0.00549744
627.0000,0.00562309
626.0000,0.00579725
625.0000,0.0059082
624.0000,0.00609995
623.0000,0.00623357
622.0000,0.0063815
621.0000,0.00665543
620.0000,0.00685814
619.0000,0.00716186
618.0000,0.00738194
617.0000,0.00764977
616.0000,0.00797461
615.0000,0.00834586
614.0000,0.00859829
613.0000,0.00907096
612.0000,0.0095749
611.0000,0.0101113
610.0000,0.0106829
609.0000,0.011361
608.0000,0.0122202
607.0000,0.0130706
606.0000,0.0141248
605.0000,0.0153614
604.0000,0.016673
603.0000,0.018206
602.0000,0.0200184
601.0000,0.022166
600.0000,0.0246436
599.0000,0.0275387
598.0000,0.0307184
597.0000,0.0345193
596.0000,0.0388769
595.0000,0.044037
594.0000,0.0499583
593.0000,0.0568129
592.0000,0.0646451
591.0000,0.0736044
