TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:13:35
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.01774
MAXY,     7.00000
MINY,     0.01774
XYDATA
700.0000,0.0177425
699.0000,0.0178617
698.0000,0.0178088
697.0000,0.0179532
696.0000,0.0180619
695.0000,0.0179848
694.0000,0.0181474
693.0000,0.018202
692.0000,0.0181985
691.0000,0.0183454
690.0000,0.0185345
689.0000,0.0185496
688.0000,0.0186722
687.0000,0.0186918
686.0000,0.0188703
685.0000,0.0188969
684.0000,0.0189854
683.0000,0.0191785
682.0000,0.0192298
681.0000,0.0194433
680.0000,0.0195757
679.0000,0.0197858
678.0000,0.0199973
677.0000,0.0201424
676.0000,0.0203152
675.0000,0.0205921
674.0000,0.0207367
673.0000,0.0209492
672.0000,0.0212032
671.0000,0.0214024
670.0000,0.0215339
669.0000,0.0216906
668.0000,0.0217384
667.0000,0.0216969
666.0000,0.0217795
665.0000,0.021798
664.0000,0.0217916
663.0000,0.0218185
662.0000,0.0218226
661.0000,0.0218736
660.0000,0.0220441
659.0000,0.0220796
658.0000,0.0221158
657.0000,0.022279
656.0000,0.0223383
655.0000,0.0224478
654.0000,0.0225536
653.0000,0.0227612
652.0000,0.0229134
651.0000,0.023084
650.0000,0.0231662
649.0000,0.0233157
648.0000,0.0234417
647.0000,0.02349
646.0000,0.0238545
645.0000,0.0240045
644.0000,0.0242435
643.0000,0.0243074
642.0000,0.0245402
641.0000,0.0247107
640.0000,0.0249445
639.0000,0.0251619
638.0000,0.0252786
637.0000,0.0253741
636.0000,0.0255763
635.0000,0.0257163
634.0000,0.0259694
633.0000,0.0261854
632.0000,0.0262136
631.0000,0.026414
630.0000,0.0267222
629.0000,0.0268666
628.0000,0.027113
627.0000,0.0272521
626.0000,0.027442
625.0000,0.0276548
624.0000,0.0278377
623.0000,0.0280924
622.0000,0.0283143
621.0000,0.0285873
620.0000,0.0287443
619.0000,0.0289833
618.0000,0.0292182
617.0000,0.0294844
616.0000,0.029768
615.0000,0.0299775
614.0000,0.030211
613.0000,0.0304987
612.0000,0.0307754
611.0000,0.0310607
610.0000,0.0312881
609.0000,0.0314272
608.0000,0.0317791
607.0000,0.0320838
606.0000,0.0323796
605.0000,0.032616
604.0000,0.0329554
603.0000,0.0331162
602.0000,0.0334601
601.0000,0.0337653
600.0000,0.0340214
599.0000,0.034383
598.0000,0.0345763
597.0000,0.034907
596.0000,0.0351603
595.0000,0.0354741
594.0000,0.0358748
593.0000,0.0361784
592.0000,0.0366061
591.0000,0.0369593
590.0000,0.0373026
