TITLE,CdSe-
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/18
TIME,15:19:25
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  700.0000
LASTX,  300.0000
NPOINTS,     401
FIRSTY,     0.02130
MAXY,     7.00000
MINY,     0.02130
XYDATA
700.0000,0.021296
699.0000,0.0213693
698.0000,0.0214025
697.0000,0.0215448
696.0000,0.0216318
695.0000,0.0215542
694.0000,0.0216721
693.0000,0.0217393
692.0000,0.0217283
691.0000,0.0217591
690.0000,0.0218662
689.0000,0.0218907
688.0000,0.0220339
687.0000,0.0219889
686.0000,0.022156
685.0000,0.0222077
684.0000,0.0223605
683.0000,0.022549
682.0000,0.0225819
681.0000,0.0227063
680.0000,0.0229596
679.0000,0.0231527
678.0000,0.0234268
677.0000,0.0236287
676.0000,0.023757
675.0000,0.0240194
674.0000,0.02417
673.0000,0.0242653
672.0000,0.0245063
671.0000,0.0248216
670.0000,0.0249864
669.0000,0.0250758
668.0000,0.0251039
667.0000,0.0250621
666.0000,0.0251015
665.0000,0.0250554
664.0000,0.0250576
663.0000,0.0251632
662.0000,0.0251423
661.0000,0.025186
660.0000,0.0253435
659.0000,0.0253942
658.0000,0.0253785
657.0000,0.0254954
656.0000,0.0256276
655.0000,0.0255953
654.0000,0.0257369
653.0000,0.0258603
652.0000,0.0260334
651.0000,0.0261672
650.0000,0.0263134
649.0000,0.0264872
648.0000,0.0266961
647.0000,0.0266789
646.0000,0.026951
645.0000,0.0271372
644.0000,0.0274158
643.0000,0.0274198
642.0000,0.0275433
641.0000,0.0277783
640.0000,0.0278913
639.0000,0.0280981
638.0000,0.028373
637.0000,0.0284552
636.0000,0.0286192
635.0000,0.0288066
634.0000,0.0289672
633.0000,0.0291444
632.0000,0.029325
631.0000,0.0294943
630.0000,0.0296518
629.0000,0.0298119
628.0000,0.0300191
627.0000,0.0300931
626.0000,0.0303414
625.0000,0.0306247
624.0000,0.0308788
623.0000,0.0310205
622.0000,0.0311934
621.0000,0.0314987
620.0000,0.0316599
619.0000,0.0319451
618.0000,0.0321248
617.0000,0.0323759
616.0000,0.0326325
615.0000,0.0328727
614.0000,0.0330646
613.0000,0.0333526
612.0000,0.0337524
611.0000,0.033995
610.0000,0.0342519
609.0000,0.0345787
608.0000,0.0348745
607.0000,0.0351942
606.0000,0.0354633
605.0000,0.0358336
604.0000,0.0361229
603.0000,0.0364004
602.0000,0.0368304
601.0000,0.0372595
600.0000,0.037573
599.0000,0.0379654
598.0000,0.0383584
597.0000,0.0389393
596.0000,0.0395577
595.0000,0.0402014
594.0000,0.0408208
593.0000,0.0415485
592.0000,0.0423331
591.0000,0.0432948
590.0000,0.0443732
